YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1951   22.7   22.8   24.4   23.1   23.3   23.2   23.2   23.8   23.4   23.5  999.9   23.3    22.6    23.6    23.4    23.3   23.22
1952   23.8   23.3   23.5   22.9   22.8   23.0   23.2   23.3   23.2  999.9  999.9   23.1    23.5    23.1    23.2   999.9   23.15
1953   23.1   23.7   23.9   22.9   22.6   23.2   23.2   24.2   23.2   22.2  999.9  999.9    23.3    23.1    23.5    22.5   23.12
1954   24.0   23.8   23.3   22.7   22.9   22.3   22.4   22.8   24.4   23.2   23.2   23.6    23.7    23.0    22.5    23.6   23.20
1955   24.3   24.5   24.2   23.9   24.1   23.2   23.2   24.0   23.9   22.7  999.9   23.0    24.1    24.1    23.5    23.1   23.70
1956   23.8   23.7   24.5   24.0   23.8   23.3   23.9   24.1   23.9   23.2  999.9   23.8    23.5    24.1    23.8    23.4   23.69
1957   25.0   25.1   24.1   23.6  999.9  999.9   24.9  999.9  999.9  999.9  999.9  999.9    24.6    23.8   999.9   999.9  999.90
1958  999.9  999.9  999.9   24.8  999.9   25.0  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1959  999.9   23.6   23.8   23.5   23.0   22.7   23.0   23.1   23.7   22.5   22.5   22.7   999.9    23.4    22.9    22.9   23.09
1960   23.0   23.1   23.2   23.0   23.3   23.4   23.2   23.7   23.6   22.8   22.6   23.1    22.9    23.2    23.4    23.0   23.13
1961   23.6   23.8   23.5   22.9   23.8   23.0   22.8   23.7   23.4   22.8   21.8   22.7    23.5    23.4    23.2    22.7   23.18
1962   22.8   22.8   22.2   22.2   21.8   21.9   23.5   23.4   23.6   22.7   22.6   22.8    22.8    22.1    22.9    23.0   22.68
1963   23.2   22.2   23.2   23.2   23.2   23.7   23.3   24.2   24.0   23.8   22.3   23.8    22.7    23.2    23.7    23.4   23.26
1964   24.3   24.1   24.2   23.4   23.4  999.9  999.9  999.9  999.9  999.9  999.9  999.9    24.1    23.7   999.9   999.9  999.90
1965  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1966  999.9  999.9   23.1   23.5   22.8   23.1   23.6   23.1   23.5   22.9   22.3   22.3   999.9    23.1    23.3    22.9   23.10
1967   22.9   23.0   23.2   23.2   22.9   22.5   22.9   23.5   22.9   22.8   22.5   22.8    22.7    23.1    23.0    22.7   22.88
1968   22.9   22.8   22.8   23.0   23.0   22.3   23.2   23.8   23.0   22.3   22.1   22.6    22.8    22.9    23.1    22.5   22.83
1969   22.7   23.4   20.7   22.6   23.2   23.0   23.0   23.8   23.4   21.9   22.4   22.7    22.9    22.2    23.3    22.6   22.73
1970   23.1   23.0   23.1   22.7   22.5   23.1   23.2   23.4   23.0   22.6   21.8   22.6    22.9    22.8    23.2    22.5   22.85
1971   22.8   22.9   23.1   22.7   22.6   22.6   22.9   22.3   22.2   21.7   21.7   22.6    22.8    22.8    22.6    21.9   22.51
