YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1967  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   12.4   999.9   999.9   999.9   999.9  999.90
1968   11.8   12.5   12.9   13.3   12.9   12.7   13.0   12.7   12.9   12.5   12.8   11.8    12.2    13.0    12.8    12.7   12.70
1969   12.4   13.4   13.2  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    12.5   999.9   999.9   999.9  999.90
1970  999.9   13.4   13.3   13.7   13.5   13.0   12.5   12.5   12.3   12.6   12.3   12.1   999.9    13.5    12.7    12.4   12.77
1971   12.3   12.0   12.8   12.7   12.9   12.5   12.7   12.0   12.0   12.4   12.2   12.0    12.1    12.8    12.4    12.2   12.38
1972   12.4   12.1   13.0   12.8   13.7   13.2   13.1   12.7   13.0   12.8   13.2   12.7    12.2    13.2    13.0    13.0   12.83
1973   13.0   12.7   13.8   13.2   13.2   12.8   12.4   12.5   12.2   12.4   12.7   12.0    12.8    13.4    12.6    12.4   12.80
1974   11.7   12.4   12.5   13.1   12.6   12.6   12.1   12.6   12.0   12.1   12.8   11.6    12.0    12.7    12.4    12.3   12.38
1975   11.9   12.4   12.6   12.9   12.8   12.7   12.0   12.1   12.2   12.0   12.5   11.9    12.0    12.8    12.3    12.2   12.31
1976   11.8   12.0   12.8  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    11.9   999.9   999.9   999.9  999.90
1977  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1978  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1979  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   13.5   12.8   999.9   999.9   999.9   999.9  999.90
1980   13.0   12.8   13.8   13.7   13.7   13.4   13.2   12.3   13.3   13.2   12.6   12.3    12.9    13.7    13.0    13.0   13.15
1981   11.9   13.4   13.2   13.5   13.5   13.4   12.6   12.6   12.4   12.6   13.1   12.8    12.5    13.4    12.9    12.7   12.88
1982   12.1   13.3   13.3   13.3   13.1   13.2   12.8   12.6   13.1   12.7   12.8   13.2    12.7    13.2    12.9    12.9   12.93
1983   13.5   14.1   14.0   13.8   14.2   13.2   13.3   13.0   13.1   12.7   13.0   12.2    13.6    14.0    13.2    12.9   13.43
1984   11.9   12.2   12.8   12.7   13.2   12.5   12.1   12.6   12.1   12.5   12.4   12.2    12.1    12.9    12.4    12.3   12.43
1985   11.8   11.6   13.1   12.9   12.9   12.5   12.0   12.1   12.2   12.4   12.0   11.8    11.9    13.0    12.2    12.2   12.31
1986   12.5   12.0   12.5   13.2   13.2   12.6   12.2   12.6   12.6   12.7   12.8   12.3    12.1    13.0    12.5    12.7   12.56
1987   12.5   13.4   13.1   13.6   13.6   13.7   13.4   13.1   12.9   13.2   13.1   12.7    12.7    13.4    13.4    13.1   13.16
1988   12.6   13.3   13.1   13.4   13.3   12.6   12.6   12.6   12.5   12.5   12.6   12.0    12.9    13.3    12.6    12.5   12.82
1989   12.3   12.3   11.9   13.1   12.9   13.1   12.3   12.5   12.4   12.9   13.1   11.9    12.2    12.6    12.6    12.8   12.57
1990   12.7   12.6   13.3   13.2   13.4   13.5   12.8   13.0   12.8   12.6   13.0   12.7    12.4    13.3    13.1    12.8   12.90
1991   12.8   13.8   13.2   13.6   13.8   13.9   13.1   12.8   13.3   12.6   12.8   13.3    13.1    13.5    13.3    12.9   13.20
1992   13.0   13.4   14.1   14.3   13.9   14.3   12.9   13.6   12.9   13.2   13.0   13.1    13.2    14.1    13.6    13.0   13.49
1993   13.4   13.4   13.7   13.7   13.7   13.8   13.3   13.3   13.0   12.9   13.0   13.1    13.3    13.7    13.5    13.0   13.36
1994   12.8   13.3   13.3   13.7   13.9   13.4   12.6   12.5   12.9   12.4   12.4   12.5    13.1    13.6    12.8    12.6   13.03
