YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1977  999.9  999.9  999.9  999.9   21.1   21.1   21.6   21.7   21.3   21.1   20.8   21.4   999.9   999.9    21.5    21.1  999.90
1978   21.6   21.9   21.5   21.0   21.3   20.8  999.9   21.5   21.0   20.7   21.1   20.7    21.6    21.3    21.1    20.9   21.25
1979   21.2   21.5   21.6   21.8   21.3   21.1   21.4   21.4   21.1   21.0   20.6   20.8    21.1    21.6    21.3    20.9   21.23
1980   21.6   21.4   22.9   21.9   21.8   22.0   21.7   21.5   21.7   21.1   20.8   20.8    21.3    22.2    21.7    21.2   21.60
1981   20.7   21.6   21.7   21.4   21.2   21.3   21.3   21.4   21.5   20.8   21.0   21.3    21.0    21.4    21.3    21.1   21.23
1982   21.0   21.1   21.7   21.0   21.1   21.7   21.7   22.2   21.5   20.8   21.1   21.4    21.1    21.3    21.9    21.1   21.35
1983   22.3   22.6   22.6   22.1   22.2   22.3   21.9   21.9   21.6   21.0   21.4   20.8    22.1    22.3    22.0    21.3   21.94
1984  999.9   21.0   21.7   21.5   21.2   21.0   20.7   20.9   20.5   20.6   20.1   21.0    20.9    21.5    20.9    20.4   20.92
1985   20.7   22.0   21.8   21.3   21.2   21.5   21.2   20.9   21.1   20.7   20.5   20.8    21.2    21.4    21.2    20.8   21.16
1986   21.3   20.8   20.5   21.1   21.5   21.3   21.8   21.8   21.6   19.3   20.7   20.7    21.0    21.0    21.6    20.5   21.04
1987   21.7   22.7   21.5   21.2   21.9   22.2   21.8   20.9   21.7   20.8   21.5   21.0    21.7    21.5    21.6    21.3   21.55
1988   22.2   21.3   22.0   21.6   21.9   21.1   21.0   20.6   20.9   20.7   20.5   19.5    21.5    21.8    20.9    20.7   21.23
1989   20.9   21.2   20.0   21.7   21.2   21.1   21.3   21.3   21.1   21.0   21.2   20.7    20.5    21.0    21.2    21.1   20.96
1990   20.6   20.5   21.1   21.6   21.6   22.2   21.5   21.5   21.7   20.9   21.2   21.0    20.6    21.4    21.7    21.3   21.26
1991   22.1   22.3   22.4   21.8   21.8   22.1  999.9   21.8   21.8   21.0   20.8   21.8    21.8    22.0    21.9    21.2   21.74
1992   21.8  999.9   22.8   22.4   21.9   22.1   21.9   21.8   21.6   22.2   21.2   22.0    21.9    22.4    21.9    21.7   21.97
1993   21.3  999.9  999.9  999.9   21.3  999.9   21.1  999.9   21.3   21.7  999.9   21.3    21.8   999.9   999.9    21.4  999.90
1994   21.2   21.7   21.2   21.5   21.7   21.8   21.8   21.5   21.4   21.3   21.0   22.1    21.4    21.5    21.7    21.2   21.45
1995   22.1   22.5   21.9   22.1   21.7   21.7   21.3   21.1   21.9   21.0   20.5   21.8    22.2    21.9    21.4    21.1   21.66
