YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1966  999.9  999.9  999.9  999.9  999.9  999.9   27.9   28.1   27.5   26.8   26.9   26.5   999.9   999.9    28.1    27.1  999.90
1967   26.1   26.2   26.0   26.8   27.6   27.2   27.4   27.7   27.2   27.0   27.0   26.8    26.3    26.8    27.4    27.1   26.89
1968   25.7   26.5   26.5   27.0   27.5   27.3   27.8   28.0   27.8   26.8   27.4   27.0    26.3    27.0    27.7    27.3   27.09
1969   26.5   26.4   27.7   27.9   29.2   28.5   28.6   27.4   27.8   26.6   27.0   27.8    26.6    28.3    28.2    27.1   27.55
1970   27.1   26.9   27.1   27.5   27.6   28.5   27.7   27.4   26.9   27.0   26.7   27.0    27.3    27.4    27.9    26.9   27.35
1971   26.3   26.2   26.4   27.2  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    26.5    27.0   999.9   999.9  999.90
1972  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1973  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1974  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1975  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   26.6   26.1   999.9   999.9   999.9   999.9  999.90
1976   25.8   26.0   26.0   27.1   27.9   27.6   27.9   28.2   28.1   27.2   27.9   27.1    26.0    27.0    27.9    27.7   27.15
1977   26.7   26.7   26.6   27.3   27.9   28.0   27.9   28.1   28.0   28.1   28.1   27.5    26.8    27.3    28.0    28.1   27.54
1978   26.7   27.3   27.5   28.1   28.0   28.1   28.1   28.4   27.3   27.3   28.0   26.9    27.2    27.9    28.2    27.5   27.69
1979   26.6   27.4   27.7   27.6   28.5   28.1   28.4   27.9   27.5   28.2   27.9   27.5    27.0    27.9    28.1    27.9   27.73
1980   27.5   27.1   26.7   28.0   28.9   28.6   28.4   28.1   28.5   27.5   27.5   27.3    27.4    27.9    28.4    27.8   27.86
