"","año","mes","fecha","ciudad","temperatura"
"1",1973,"JAN","1973-1-1","ipiales",10.8
"2",1974,"JAN","1974-1-1","ipiales",NA
"3",1975,"JAN","1975-1-1","ipiales",NA
"4",1976,"JAN","1976-1-1","ipiales",9.8
"5",1977,"JAN","1977-1-1","ipiales",11
"6",1978,"JAN","1978-1-1","ipiales",10.8
"7",1979,"JAN","1979-1-1","ipiales",NA
"8",1980,"JAN","1980-1-1","ipiales",NA
"9",1981,"JAN","1981-1-1","ipiales",NA
"10",1982,"JAN","1982-1-1","ipiales",11.2
"11",1983,"JAN","1983-1-1","ipiales",12.2
"12",1984,"JAN","1984-1-1","ipiales",10.2
"13",1985,"JAN","1985-1-1","ipiales",11.1
"14",1986,"JAN","1986-1-1","ipiales",11
"15",1987,"JAN","1987-1-1","ipiales",11
"16",1988,"JAN","1988-1-1","ipiales",11.9
"17",1989,"JAN","1989-1-1","ipiales",10.7
"18",1990,"JAN","1990-1-1","ipiales",11.3
"19",1991,"JAN","1991-1-1","ipiales",11.6
"20",1992,"JAN","1992-1-1","ipiales",11.1
"21",1993,"JAN","1993-1-1","ipiales",11.1
"22",1994,"JAN","1994-1-1","ipiales",11
"23",1995,"JAN","1995-1-1","ipiales",11
"24",1996,"JAN","1996-1-1","ipiales",10.9
"25",1997,"JAN","1997-1-1","ipiales",11.2
"26",1998,"JAN","1998-1-1","ipiales",11.9
"27",1999,"JAN","1999-1-1","ipiales",11.3
"28",2000,"JAN","2000-1-1","ipiales",11
"29",2001,"JAN","2001-1-1","ipiales",10.1
"30",2002,"JAN","2002-1-1","ipiales",11.5
"31",2003,"JAN","2003-1-1","ipiales",11.5
"32",2004,"JAN","2004-1-1","ipiales",11.9
"33",2005,"JAN","2005-1-1","ipiales",11.6
"34",2006,"JAN","2006-1-1","ipiales",11.6
"35",2007,"JAN","2007-1-1","ipiales",11.7
"36",2008,"JAN","2008-1-1","ipiales",11.4
"37",2009,"JAN","2009-1-1","ipiales",11.6
"38",2010,"JAN","2010-1-1","ipiales",11.4
"39",2011,"JAN","2011-1-1","ipiales",11.4
"40",2012,"JAN","2012-1-1","ipiales",11.7
"41",2013,"JAN","2013-1-1","ipiales",11.6
"42",2014,"JAN","2014-1-1","ipiales",11.8
"43",2015,"JAN","2015-1-1","ipiales",11.2
"44",1973,"FEB","1973-2-1","ipiales",11.1
"45",1974,"FEB","1974-2-1","ipiales",NA
"46",1975,"FEB","1975-2-1","ipiales",10.5
"47",1976,"FEB","1976-2-1","ipiales",10.4
"48",1977,"FEB","1977-2-1","ipiales",NA
"49",1978,"FEB","1978-2-1","ipiales",11.9
"50",1979,"FEB","1979-2-1","ipiales",NA
"51",1980,"FEB","1980-2-1","ipiales",NA
"52",1981,"FEB","1981-2-1","ipiales",NA
"53",1982,"FEB","1982-2-1","ipiales",11.1
"54",1983,"FEB","1983-2-1","ipiales",11.6
"55",1984,"FEB","1984-2-1","ipiales",10.8
"56",1985,"FEB","1985-2-1","ipiales",10.6
"57",1986,"FEB","1986-2-1","ipiales",11
"58",1987,"FEB","1987-2-1","ipiales",11.3
"59",1988,"FEB","1988-2-1","ipiales",11.7
"60",1989,"FEB","1989-2-1","ipiales",10.7
"61",1990,"FEB","1990-2-1","ipiales",11.9
"62",1991,"FEB","1991-2-1","ipiales",11.4
"63",1992,"FEB","1992-2-1","ipiales",11.5
"64",1993,"FEB","1993-2-1","ipiales",11.1
"65",1994,"FEB","1994-2-1","ipiales",11.2
"66",1995,"FEB","1995-2-1","ipiales",11.3
