No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr)
52,53333,7.25,7.75,60500.0,10603
25,36429,-77.25,6.25,9432.0,55789
49,33002,-122.25,37.75,60885.0,21504
70,22857,86.75,20.75,50000.0,21283
29,22319,-58.75,6.25,66600.0,66436
55,21111,120.25,34.25,121330.0,26971
187,20000,135.25,-14.75,47400.0,3147
90,19444,103.25,3.25,19000.0,16895
54,19000,-81.75,52.25,118000.0,30080
88,18947,-0.75,44.75,52000.0,19264
79,18636,-68.75,-50.25,15550.0,22011
32,18000,-92.75,57.25,997000.0,69606
10,17979,106.25,9.75,545000.0,300351
181,17838,-37.75,-4.75,48200.0,3692
86,17619,-123.25,45.25,18855.0,21004
67,17586,-88.25,30.75,56894.0,29624
198,17500,115.75,-31.75,118200.0,374
99,17368,31.25,60.75,61275.0,18720
76,17308,39.25,47.25,378000.0,24447
114,17059,-8.75,41.25,91491.0,17317
47,16977,-68.25,58.25,86800.0,40591
69,16897,-78.25,52.25,44300.0,28659
30,16744,-122.75,48.75,217000.0,85430
81,16667,-66.25,58.75,35200.0,23462
61,16667,78.75,67.25,100000.0,32805
16,16062,-67.75,48.75,773888.0,224654
107,16000,-87.75,56.25,94300.0,19933
33,15897,106.75,73.25,275000.0,87626
63,15882,-57.25,5.75,51600.0,34267
39,15714,10.25,3.75,131500.0,62633
82,15385,39.25,-7.75,158200.0,25738
186,15313,129.75,-15.25,44900.0,4205
15,15233,95.75,17.75,117900.0,256783
43,15085,-92.25,18.25,50743.0,58594
53,15000,-162.25,60.25,80549.0,37743
59,14865,-74.25,45.75,89600.0,36484
74,14839,-76.25,39.25,62419.0,30392
108,14762,-158.25,58.75,25511.0,20987
57,14737,46.25,31.75,134000.0,38193
21,14651,-123.75,46.25,613827.0,164860
44,14576,-54.25,5.75,63700.0,51629
131,14375,10.25,-2.75,20000.0,16315
11,14354,-49.25,-2.25,742300.0,357689
80,14286,-51.75,3.75,25100.0,26381
129,13889,118.25,5.75,10800.0,16285
23,13818,-58.25,-33.75,249312.0,166907
91,13600,-80.75,51.75,61100.0,23795
170,13378,-44.25,-2.75,50800.0,7455
139,13333,71.75,66.25,48000.0,14420
118,13333,-72.75,-41.75,8620.0,20970
41,13286,111.75,2.75,34053.0,70272
193,13200,-110.25,27.75,57908.0,2478
188,13143,122.25,40.75,120764.0,3512
133,12941,-93.16,17.98,9000.0,4546
123,12857,-88.25,31.75,39847.1,21223
89,12857,-91.75,31.25,174824.0,27662
132,12778,-47.75,-1.75,38178.0,18376
159,12727,37.75,45.25,48100.0,11837
73,12703,-56.25,-5.25,40400.0,37088
96,12593,-66.25,45.25,39900.0,35739
28,12568,9.75,-0.75,203500.0,147964
50,12545,-51.75,-29.75,71454.0,54999
128,12500,43.75,66.25,56400.0,20219
1,12462,-51.75,-0.75,4618750.0,5389537
87,12414,-130.25,54.25,42200.0,28536
12,12315,-55.25,-2.75,387378.0,337803
157,12308,113.75,73.25,78800.0,14449
177,12295,42.75,0.75,179520.0,6086
121,12273,9.25,53.75,123532.0,21423
98,12222,-78.75,51.75,40900.0,26529
20,12217,113.25,22.25,329705.0,219664
48,12167,86.25,20.25,132090.0,59434
8,11933,-57.75,-34.75,2346000.0,476584
35,11919,160.75,68.75,526000.0,97080
141,11875,24.25,56.75,70350.0,15750
102,11852,-78.25,1.75,18800.0,31726
84,11818,-79.25,51.25,57500.0,32542
140,11765,14.25,53.75,109729.0,16724
119,11739,113.75,22.75,25325.0,23412
92,11724,100.25,13.75,118816.0,23273
38,11685,68.25,24.75,975000.0,88525
161,11667,33.75,-24.75,342000.0,11677
113,11600,-130.25,54.75,19200.0,24484
66,11522,-70.75,48.25,73000.0,45981
3,11474,-61.75,9.25,836000.0,980088
62,11458,11.75,45.25,70091.0,47746
6,11381,-90.25,29.75,2896021.0,537319
100,11379,162.75,56.25,51600.0,29165
101,11379,-68.25,49.25,45800.0,32097
17,11346,140.25,51.75,1730000.0,305944
180,11333,-3.75,5.25,66500.0,5776
78,11282,73.25,21.75,89345.0,38381
143,11176,-76.99,55.23,36300.0,16634
36,11143,35.75,-18.25,940000.0,105311
110,11111,-73.75,-47.75,23736.0,27443
18,11103,-52.25,-2.25,446388.0,273437
172,11059,139.25,-35.25,991000.0,8518
136,11053,46.25,31.75,274100.0,19149
168,11000,30.25,46.25,66100.0,9868
75,10952,113.75,22.75,38363.0,42126
85,10882,0.25,5.75,394100.0,33918
185,10870,-129.25,69.75,56300.0,4619
125,10833,-41.75,-3.25,282000.0,24037
184,10833,-7.25,37.25,60883.0,4874
64,10800,149.75,71.25,305000.0,50437
